state,counties,city,price,type,beds,baths,sqfeet,latlong
ca,sacramento,west sacramento,1524,apartment,1,1,821,"(38.589, -121.522)"
ca,sacramento,rocklin,1772,apartment,2,2,1042,"(38.7996, -121.268)"
ca,sacramento,west sacramento,1919,apartment,3,2,1136,"(38.5147, -121.527)"
ca,sacramento,roseville,1900,apartment,3,2,1220,"(38.7724, -121.263)"
ca,sacramento,orangevale,1375,apartment,1,1,680,"(38.6658, -121.213)"
ca,sacramento,west sacramento,1682,apartment,2,2,1065,"(38.589, -121.522)"
ca,sacramento,la riviera,1599,apartment,3,1,844,"(38.5892, -121.406)"
ca,sacramento,florin,1102,apartment,1,1,597,"(38.4743, -121.441)"
ca,sacramento,la riviera,1295,apartment,2,1,800,"(38.5997, -121.392)"
ca,sacramento,foothill farms,1265,apartment,2,1,828,"(38.6865, -121.349)"
ca,sacramento,rosemont,1225,apartment,1,1,640,"(38.5643, -121.378)"
ca,sacramento,west sacramento,1825,apartment,2,2,990,"(38.4962, -121.53)"
ca,sacramento,davis,1579,apartment,1,1,675,"(38.5433, -121.714)"
ca,sacramento,davis,2950,house,3,2.5,1800,"(38.5449, -121.741)"
ca,sacramento,florin,539,house,4,2.5,2036,"(38.4797, -121.444)"
ca,sacramento,citrus heights,1650,apartment,2,2,986,"(38.7309, -121.273)"
ca,sacramento,citrus heights,1360,apartment,1,1,755,"(38.6946, -121.269)"
ca,sacramento,carmichael,1695,apartment,2,2,1200,"(38.6097, -121.327)"
ca,sacramento,foothill farms,1455,apartment,2,2,920,"(38.6764, -121.323)"
ca,sacramento,folsom,2277,apartment,3,2,1276,"(38.6458, -121.126)"
ca,sacramento,roseville,1449,apartment,1,1,772,"(38.7609, -121.287)"
ca,sacramento,west sacramento,1490,apartment,1,1,815,"(38.6543, -121.54)"
ca,sacramento,woodland,1799,duplex,2,2,960,"(38.689, -121.8)"
ca,sacramento,rio linda,1440,apartment,1,1,850,"(38.656, -121.512)"
ca,sacramento,west sacramento,1620,apartment,1,1,820,"(38.6174, -121.518)"
ca,sacramento,rocklin,1719,apartment,2,2,1040,"(38.7877, -121.237)"
ca,sacramento,west sacramento,1835,apartment,2,1,912,"(38.4962, -121.53)"
ca,sacramento,sacramento,1300,apartment,1,1,650,"(38.5683, -121.472)"
ca,sacramento,roseville,1400,apartment,2,1,841,"(38.7608, -121.306)"
ca,sacramento,citrus heights,1560,apartment,2,2,960,"(38.7062, -121.276)"
ca,sacramento,davis,1050,house,1,1,200,"(38.5485, -121.737)"
ca,sacramento,fair oaks,1631,apartment,2,2,874,"(38.6554, -121.261)"
ca,sacramento,roseville,1479,apartment,1,1,772,"(38.7609, -121.287)"
ca,sacramento,roseville,1479,apartment,1,1,772,"(38.7609, -121.287)"
ca,sacramento,roseville,1479,apartment,1,1,772,"(38.7609, -121.287)"
ca,sacramento,fair oaks,2300,house,3,2,1800,"(38.6233, -121.242)"
ca,sacramento,roseville,1929,apartment,3,2,1170,"(38.7609, -121.287)"
ca,sacramento,lodi,1975,apartment,2,2,1057,"(38.0971, -121.263)"
ca,sacramento,roseville,1800,apartment,2,2,1040,"(38.7609, -121.287)"
ca,sacramento,foothill farms,1485,apartment,2,2,842,"(38.6627, -121.341)"
ca,sacramento,elk grove,1050,house,0,1,350,"(38.4081, -121.429)"
ca,sacramento,lodi,2075,apartment,2,2,1166,"(38.0969, -121.263)"
ca,sacramento,rocklin,1262,apartment,1,1,630,"(38.7877, -121.237)"
ca,sacramento,folsom,1755,apartment,2,2,1106,"(38.6668, -121.152)"
ca,sacramento,north highlands,1394,apartment,2,2,801,"(38.697, -121.363)"
ca,sacramento,davis,1748,apartment,1,1,600,"(38.5538, -121.742)"
ca,sacramento,citrus heights,1280,apartment,2,1,720,"(38.6783, -121.282)"
ca,sacramento,citrus heights,1380,apartment,2,2,860,"(38.6783, -121.282)"
ca,sacramento,florin,1675,apartment,1,1,729,"(38.4243, -121.469)"
ca,sacramento,vacaville,1725,apartment,2,1,720,"(38.3418, -121.971)"
ca,sacramento,folsom,1700,apartment,2,2,900,"(38.6709, -121.153)"
ca,sacramento,sacramento,1625,apartment,2,1,980,"(38.6157, -121.505)"
ca,sacramento,florin,1825,apartment,2,2,1015,"(38.4247, -121.471)"
ca,sacramento,rosemont,1550,apartment,2,1,840,"(38.5643, -121.378)"
ca,sacramento,florin,1550,townhouse,2,2,1000,"(38.4936, -121.477)"
ca,sacramento,orangevale,2099,house,3,2.5,1736,"(38.6845, -121.226)"
ca,sacramento,sacramento,1725,apartment,2,2,1113,"(38.6383, -121.507)"
ca,sacramento,sacramento,2695,townhouse,2,2.5,968,"(38.567, -121.444)"
ca,sacramento,florin,1304,apartment,2,1,750,"(38.4743, -121.441)"
ca,sacramento,rocklin,1799,apartment,2,1,850,"(38.7877, -121.237)"
ca,sacramento,folsom,2250,house,3,2,1386,"(38.6709, -121.153)"
ca,sacramento,citrus heights,945,apartment,0,1,410,"(38.6946, -121.269)"
ca,sacramento,west sacramento,1625,apartment,1,1,735,"(38.4962, -121.53)"
ca,sacramento,folsom,1300,apartment,2,2,850,"(38.6682, -121.191)"
ca,sacramento,fairfield,1745,apartment,2,1,847,"(38.2541, -122.02)"
ca,sacramento,carmichael,1693,apartment,2,1.5,1240,"(38.6174, -121.351)"
ca,sacramento,sacramento,2312,apartment,1,1,680,"(38.576, -121.483)"
ca,sacramento,rancho cordova,1567,apartment,2,2,1034,"(38.5786, -121.295)"
ca,sacramento,sacramento,1525,apartment,1,1,650,"(38.5665, -121.489)"
ca,sacramento,folsom,2280,apartment,2,2,1122,"(38.6482, -121.125)"
ca,sacramento,rio linda,1385,apartment,1,1,715,"(38.656, -121.512)"
ca,sacramento,citrus heights,1285,apartment,1,1,710,"(38.6946, -121.269)"
